bin_id,log10_low,log10_high,log10_midpoint,value_low,value_high,events_length_ge_1,events_length_ge_2,events_length_ge_10,events_length_ge_100,events_length_ge_1000
1,5.930773343120057,6.085031114708697,6.007902228914377,852655,1216273,34,2,0,0,0
2,6.085031114708697,6.239288886297335,6.162160000503016,1216274,1734957,4,0,0,0,0
3,6.239288886297335,6.393546657885975,6.316417772091655,1734958,2474837,15,1,0,0,0
4,6.393546657885975,6.547804429474614,6.4706755436802945,2474838,3530241,13,1,0,0,0
5,6.547804429474614,6.702062201063253,6.624933315268933,3530242,5035727,3,0,0,0,0
6,6.702062201063253,6.856319972651892,6.779191086857573,5035728,7183233,21,0,0,0,0
7,6.856319972651892,7.010577744240532,6.933448858446212,7183234,10246551,9,0,0,0,0
8,7.010577744240532,7.1648355158291706,7.087706630034852,10246552,14616234,33,1,0,0,0
9,7.1648355158291706,7.31909328741781,7.24196440162349,14616235,20849386,54,8,0,0,0
10,7.31909328741781,7.473351059006449,7.396222173212129,20849387,29740691,40,16,5,4,1
11,7.473351059006449,7.627608830595088,7.5504799448007685,29740692,42423728,126,38,16,15,2
12,7.627608830595088,7.781866602183728,7.704737716389408,42423729,60515496,63,8,2,2,0
13,7.781866602183728,7.936124373772367,7.8589954879780475,60515497,86322572,55,2,0,0,0
14,7.936124373772367,8.090382145361005,8.013253259566685,86322573,123135178,167,33,11,10,3
15,8.090382145361005,8.244639916949644,8.167511031155325,123135179,175646668,117,13,4,2,0
16,8.244639916949644,8.398897688538284,8.321768802743964,175646669,250551893,100,13,1,0,0
17,8.398897688538284,8.553155460126924,8.476026574332604,250551894,357400750,156,11,0,0,0
18,8.553155460126924,8.707413231715563,8.630284345921243,357400751,509815730,123,25,5,5,3
19,8.707413231715563,8.861671003304203,8.784542117509883,509815731,727228688,208,25,4,4,4
20,8.861671003304203,9.015928774892842,8.938799889098522,727228689,1037358273,224,47,18,16,9
21,9.015928774892842,9.170186546481482,9.093057660687162,1037358274,1479743859,102,9,0,0,0
22,9.170186546481482,9.32444431807012,9.247315432275801,1479743860,2110786549,390,66,16,16,12
23,9.32444431807012,9.478702089658759,9.401573203864439,2110786550,3010939919,474,92,39,32,22
24,9.478702089658759,9.632959861247398,9.555830975453079,3010939920,4294967295,572,156,63,62,48
