hole,side,control,hole_mechanism,hole_up_proposals,hole_up_bypassed,control_visited,control_visit_step,control_mechanism,control_up_proposals,control_up_bypassed
852655,lower,852654,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
852655,upper,852656,no_observed_proposal,0,0,True,246755.0,visited_by_addition,1,0
930058,lower,930057,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
930058,upper,930059,no_observed_proposal,0,0,True,290529.0,visited_by_down,1,1
930557,lower,930556,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
930557,upper,930558,no_observed_proposal,0,0,True,291031.0,visited_by_down,0,0
964420,lower,964419,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
964420,upper,964421,no_observed_proposal,0,0,True,310441.0,visited_by_addition,1,0
966052,lower,966051,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
966052,upper,966053,no_observed_proposal,0,0,True,311545.0,visited_by_addition,1,0
966727,lower,966726,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
966727,upper,966728,no_observed_proposal,0,0,True,312071.0,visited_by_addition,1,0
969194,lower,969193,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
969194,upper,969195,no_observed_proposal,0,0,True,313333.0,visited_by_addition,1,0
971330,lower,971329,no_observed_proposal,0,0,True,5150545.0,visited_by_down,0,0
971330,upper,971331,no_observed_proposal,0,0,True,314661.0,visited_by_addition,1,0
971626,lower,971625,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
971626,upper,971627,no_observed_proposal,0,0,True,314857.0,visited_by_addition,1,0
971866,lower,971865,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
971866,upper,971867,no_observed_proposal,0,0,True,314981.0,visited_by_addition,1,0
972275,lower,972274,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
972275,upper,972276,no_observed_proposal,0,0,True,315243.0,visited_by_addition,1,0
972827,lower,972826,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
972827,upper,972828,bypassed_addition_only,1,1,True,315819.0,visited_by_down,0,0
