value,group,up_proposals,up_bypassed,up_chosen,down_proposals,down_chosen,down_collision,first_up_proposal_step,first_bypass_step,first_down_proposal_step,first_visit_step,visited,addition_window_complete,mechanism
852654,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
852655,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
852656,adjacent_control,1,0,1,0,0,0,246755.0,,,246755.0,True,True,visited_by_addition
930057,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
930058,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
930059,adjacent_control,1,1,0,1,1,0,188814.0,188814.0,290529.0,290529.0,True,True,visited_by_down
930556,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
930557,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
930558,adjacent_control,0,0,0,1,1,0,,,291031.0,291031.0,True,True,visited_by_down
964419,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
964420,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
964421,adjacent_control,1,0,1,0,0,0,310441.0,,,310441.0,True,True,visited_by_addition
966051,adjacent_control,1,1,0,0,0,0,201998.0,201998.0,,,False,True,bypassed_addition_only
966052,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
966053,adjacent_control,1,0,1,0,0,0,311545.0,,,311545.0,True,True,visited_by_addition
966726,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
966727,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
966728,adjacent_control,1,0,1,1,0,1,312071.0,,2510080.0,312071.0,True,True,visited_by_addition
969193,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
969194,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
969195,adjacent_control,1,0,1,0,0,0,313333.0,,,313333.0,True,True,visited_by_addition
971329,adjacent_control,0,0,0,1,1,0,,,5150545.0,5150545.0,True,True,visited_by_down
971330,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
971331,adjacent_control,1,0,1,0,0,0,314661.0,,,314661.0,True,True,visited_by_addition
971625,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
971626,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
971627,adjacent_control,1,0,1,0,0,0,314857.0,,,314857.0,True,True,visited_by_addition
971865,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
971866,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
971867,adjacent_control,1,0,1,0,0,0,314981.0,,,314981.0,True,True,visited_by_addition
972274,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
